,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital,,
accoci,1.00,-0.03,-0.03,-0.07,-0.02,0.00,0.00,0.02,-0.07,-0.04,-0.03,-0.02,0.00,0.00,0.00,0.00,0.00,-0.03,0.01,-0.04,-0.06,0.00,0.00,-0.02,-0.02,0.00,-0.04,-0.03,-0.02,0.00,0.00,0.00,-0.05,-0.05,-0.03,-0.03,0.00,0.00,-0.03,0.00,-0.02,-0.06,0.00,-0.11,0.00,-0.02,-0.02,-0.11,-0.03,-0.02,-0.02,-0.02,-0.04,-0.01,-0.02,0.02,0.13,0.04,-0.01,0.01,0.03,0.02,-0.01,-0.02,0.00,-0.02,-0.02,-0.02,0.00,-0.01,0.00,-0.13,-0.02,-0.03,0.00,0.00,0.00,#VALUE!,-0.01,-0.01,0.00,0.00,#VALUE!,-0.08,-0.40,-0.04,-0.05,-0.67,0.00,0.00,0.00,0.00,0.01,-0.13,0.01,-0.01,-0.01,-0.09,0.00,-0.03,0.00,-0.02,-0.01,0.00,-0.18,,
assets,-0.03,1.00,1.00,0.99,1.00,0.00,0.00,-0.93,0.97,0.04,0.98,0.58,0.00,0.00,0.95,0.95,0.94,0.04,0.01,0.99,0.03,0.02,0.00,0.73,0.84,0.00,0.09,0.08,0.66,0.00,0.00,0.00,0.99,0.99,0.07,0.06,0.00,0.00,0.62,0.00,0.94,0.90,0.00,0.62,0.78,0.99,0.98,0.96,0.86,0.88,0.80,0.99,0.98,0.97,0.07,0.28,-0.09,0.28,0.77,-0.85,-0.85,-0.94,0.63,0.93,0.65,0.54,0.54,0.06,-0.05,0.96,0.00,0.91,0.80,0.95,0.00,0.00,0.00,#VALUE!,0.99,0.00,0.00,0.00,#VALUE!,0.92,0.85,0.96,0.06,0.04,0.00,0.00,0.00,0.00,0.00,0.92,-0.08,0.36,0.36,0.89,0.00,1.00,0.92,0.82,0.97,0.00,0.87,,
assetsavg,-0.03,1.00,1.00,0.98,1.00,-0.01,0.00,-0.91,0.97,0.04,0.97,0.56,0.00,0.00,0.96,0.96,0.95,0.04,0.01,0.99,0.03,0.02,0.00,0.71,0.83,0.00,0.09,0.08,0.64,0.00,0.00,0.00,0.98,0.99,0.07,0.06,0.00,0.00,0.63,0.00,0.94,0.89,0.00,0.63,0.81,0.99,0.99,0.96,0.86,0.89,0.79,0.99,0.98,0.98,0.07,0.27,-0.09,0.25,0.77,-0.83,-0.84,-0.93,0.62,0.91,0.64,0.52,0.52,0.06,-0.05,0.96,0.00,0.91,0.78,0.94,0.00,0.00,0.00,#VALUE!,1.00,0.01,0.00,0.00,#VALUE!,0.91,0.86,0.95,0.06,0.04,0.00,0.00,0.00,0.00,0.00,0.92,-0.08,0.36,0.36,0.88,0.00,1.00,0.93,0.81,0.95,0.00,0.88,,
assetsc,-0.07,0.99,0.98,1.00,0.98,-0.01,0.00,-0.93,0.99,0.07,0.98,0.69,0.00,0.00,0.88,0.90,0.88,0.07,0.02,0.98,0.00,0.02,0.00,0.82,0.90,0.00,0.11,0.10,0.76,0.00,0.00,0.00,1.00,0.99,0.10,0.08,0.00,0.00,0.71,0.00,0.92,0.95,0.00,0.66,0.70,0.95,0.95,0.98,0.95,0.88,0.85,0.96,0.99,0.93,0.08,0.38,-0.12,0.33,0.76,-0.87,-0.88,-0.95,0.63,0.96,0.55,0.65,0.65,0.08,-0.06,0.90,0.00,0.89,0.87,0.97,0.00,0.00,0.00,#VALUE!,0.97,0.00,0.00,0.00,#VALUE!,0.96,0.95,0.98,0.07,0.10,0.00,0.00,0.00,0.00,0.00,0.94,-0.08,0.36,0.36,0.93,0.00,0.98,0.86,0.89,0.95,0.00,0.90,,
assetsnc,-0.02,1.00,1.00,0.98,1.00,-0.01,0.00,-0.92,0.96,0.05,0.97,0.55,0.00,0.00,0.96,0.96,0.95,0.07,0.01,0.99,0.00,0.02,0.00,0.71,0.82,0.00,0.08,0.07,0.63,0.00,0.00,0.00,0.98,0.99,0.07,0.06,0.00,0.00,0.60,0.00,0.94,0.89,0.00,0.61,0.80,0.99,0.99,0.95,0.90,0.88,0.78,1.00,0.98,0.98,0.06,0.26,-0.08,0.26,0.77,-0.84,-0.84,-0.93,0.63,0.91,0.66,0.51,0.51,0.06,-0.05,0.97,0.00,0.91,0.77,0.94,0.00,0.00,0.00,#VALUE!,1.00,0.00,0.00,0.00,#VALUE!,0.90,0.83,0.95,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.91,-0.08,0.36,0.36,0.91,0.00,1.00,0.94,0.80,0.96,0.00,0.86,,
assetturnover,0.00,0.00,-0.01,-0.01,-0.01,1.00,-0.01,0.00,0.00,-0.04,0.00,0.00,-0.02,-0.02,-0.01,-0.01,-0.01,-0.05,-0.02,0.00,-0.05,-0.04,-0.01,0.00,0.00,0.04,-0.02,-0.02,0.00,0.01,0.01,0.01,0.00,0.00,-0.06,-0.04,0.00,0.00,0.00,0.01,0.00,0.00,-0.03,0.00,0.00,-0.01,-0.01,0.00,-0.02,-0.01,0.00,-0.01,-0.01,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.04,0.00,0.00,0.00,0.00,-0.01,0.01,#VALUE!,0.00,0.00,-0.01,-0.01,#VALUE!,0.00,0.00,0.00,0.08,0.00,0.02,0.03,-0.01,0.04,-0.01,0.00,0.00,-0.02,-0.02,-0.02,-0.01,0.00,0.00,0.00,0.00,-0.01,-0.01,,
bvps,0.00,0.00,0.00,0.00,0.00,-0.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,-0.80,-0.81,-0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.00,0.49,0.00,#VALUE!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,1.00,0.00,,
capex,0.02,-0.93,-0.91,-0.93,-0.92,0.00,0.00,1.00,-0.94,-0.01,-0.96,-0.71,0.00,0.00,-0.79,-0.82,-0.78,-0.01,-0.01,-0.93,0.00,-0.02,0.00,-0.82,-0.89,0.00,-0.08,-0.08,-0.77,0.00,0.00,0.00,-0.95,-0.95,-0.04,-0.04,0.00,0.00,-0.58,0.00,-0.86,-0.96,0.00,-0.55,-0.55,-0.88,-0.86,-0.88,-0.82,-0.69,-0.86,-0.89,-0.96,-0.85,-0.06,-0.29,0.09,-0.42,-0.77,0.92,0.88,0.98,-0.53,-0.97,-0.69,-0.68,-0.68,-0.06,0.01,-0.83,0.00,-0.87,-0.89,-0.94,0.00,0.00,0.00,#VALUE!,-0.92,0.00,0.00,0.00,#VALUE!,-0.92,-0.91,-0.97,-0.05,-0.02,0.00,0.00,0.00,0.00,0.00,-0.89,0.08,-0.35,-0.35,-0.88,0.00,-0.93,-0.82,-0.89,-0.96,0.00,-0.75,,
cashneq,-0.07,0.97,0.97,0.99,0.96,0.00,0.00,-0.94,1.00,0.07,0.98,0.73,0.00,0.00,0.86,0.87,0.85,0.05,0.04,0.97,0.05,0.01,0.00,0.85,0.93,0.00,0.11,0.11,0.80,0.00,0.00,0.00,0.99,0.98,0.09,0.07,0.00,0.00,0.73,0.00,0.90,0.96,0.00,0.58,0.66,0.94,0.93,0.95,0.89,0.87,0.84,0.94,0.98,0.91,0.09,0.41,-0.10,0.35,0.74,-0.89,-0.90,-0.96,0.63,0.97,0.53,0.70,0.70,0.09,-0.02,0.88,0.00,0.85,0.90,0.96,0.00,0.00,0.00,#VALUE!,0.96,0.01,0.00,0.00,#VALUE!,0.95,0.79,0.98,0.07,0.09,0.00,0.00,0.00,0.00,0.01,0.91,-0.08,0.37,0.37,0.90,0.00,0.97,0.83,0.92,0.95,0.00,0.89,,
cashnequsd,-0.04,0.04,0.04,0.07,0.05,-0.04,0.00,-0.01,0.07,1.00,0.01,0.01,0.00,0.02,0.03,0.04,0.03,0.72,0.14,0.01,0.89,0.00,0.00,0.01,0.01,0.00,0.30,0.30,0.01,0.00,0.00,0.00,0.02,0.02,0.68,0.53,-0.10,0.00,0.02,0.00,0.00,0.01,0.01,0.04,0.00,0.04,0.04,0.01,0.33,0.07,0.05,0.06,0.07,0.03,0.33,0.01,0.00,0.00,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,0.00,0.01,0.01,0.29,0.00,0.00,0.01,0.02,0.01,0.01,0.01,0.00,0.00,#VALUE!,0.01,0.20,0.00,0.00,#VALUE!,0.02,0.04,0.01,0.31,0.02,0.00,0.00,0.00,0.00,0.06,0.02,-0.01,0.15,0.15,0.29,0.00,0.04,0.00,0.01,0.01,0.00,0.08,,
